cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95
LHS#0,24,209.67857852832228,150.89972085635407,209.54433756617505,483.74017677598175,1.0,29789.02929285175,10.0,0.0,42,131968257.828056,4334.875911045848,0.0,0.0,0.0
LHS#1,24,272.0583781678206,100.51093918049389,202.09171368244535,351.3248431784427,1.0,34707.66002354174,10.0,0.0,42,162346138.9389732,4619.378752626104,0.0,0.0,0.0
LHS#2,24,186.6037745464668,143.49083965568997,293.46870663529467,423.61242080317305,1.0,32064.124062488936,10.0,0.0,42,97164233.12585828,2916.4487359477516,0.0,0.0,0.0
LHS#3,24,56.97406415254225,105.23345823036779,175.45923234075138,376.8272858352754,1.0,16864.10070906113,10.0,0.0,42,111394566.63015874,6489.424451411691,0.0,0.0,0.0
LHS#4,24,312.4429712947657,313.1951455888318,302.86731312665677,156.9627745976681,1.0,19909.73819531273,10.0,0.0,42,35613194.084222205,1709.2593990395058,17.346937100968603,0.0,0.0
LHS#5,24,140.0540648058689,186.12047551152116,153.9854228208833,100.24529965149941,1.0,33135.87271641623,10.0,0.0,42,190074632.09540677,5716.451895947948,0.0,0.0,0.0
LHS#6,24,269.043670472391,111.6172112090739,213.987743513591,229.67832046735353,1.0,18784.641534826005,10.0,0.0,42,82810911.67791626,4324.916469073494,0.0,0.0,0.0
LHS#7,24,178.687204653232,280.3335258465779,169.77840213913095,201.60285965879925,1.0,21140.15310871723,10.0,0.0,42,93116208.64610207,4350.78960694875,0.0,0.0,0.0
LHS#8,24,150.79320888937968,243.30764815926983,138.54186083982384,443.4084122956553,1.0,9336.61977919128,10.0,0.0,42,53394961.215068996,5536.296993327007,0.0,0.0,0.0
LHS#9,24,341.5969094579889,96.45828408020593,379.26670604390455,403.4367500529862,1.0,6788.978902372592,10.0,0.0,42,16415791.207475156,1843.7831614283432,0.0,0.0,0.0
LHS#10,24,122.59738764840799,71.10142525853728,81.35883397682404,406.53952468806614,1.0,2338.8182996909613,10.0,0.0,42,20837922.151545335,8536.224073127793,0.0,0.0,0.0
LHS#11,24,388.9501946687836,201.8482387149017,100.47694268589308,394.38091843404385,1.0,23901.879352070617,10.0,0.0,42,131858615.63113315,5479.250045780252,78.39319257112385,0.0,0.0
LHS#12,24,336.22721364169956,193.9494459907069,181.69120249520287,402.1512219250516,1.0,2779.4400616762277,10.0,0.0,42,13535617.603580687,4229.552379772298,2.8060586266153678,0.0,0.0
LHS#13,24,64.34241848449224,281.0439376431165,244.25418415658254,65.45825115448626,1.0,26884.690397149192,10.0,0.0,42,91821075.26170398,3374.8739330645285,0.0,0.0,0.0
LHS#14,24,239.74866300746677,214.43269592337674,233.31388467617995,113.04209193772243,1.0,17788.21583064718,10.0,0.0,42,61264823.188609324,3380.939170433917,0.0,0.0,0.0
LHS#15,24,300.14488971036826,71.81978195639587,291.7925177392443,190.25321545515388,1.0,6973.748724585237,10.0,0.0,42,24676756.367867928,3265.2153299590414,0.0,0.0,0.0
LHS#16,24,286.41290049687825,156.430782799606,391.60790992452945,412.05310536704206,1.0,26308.18099280592,10.0,0.0,42,40359164.33708659,1374.3192039113087,0.0,0.0,0.0
LHS#17,24,83.43132634981505,304.03484699964685,279.3827113755599,167.25953042569256,1.0,32649.258722262337,10.0,0.0,42,79287411.91350473,2368.027389071973,0.0,0.0,0.0
LHS#18,24,364.76263270106153,177.79947176362327,219.88935857619921,181.12212933613563,1.0,8096.978198966345,10.0,0.0,42,31032452.9676396,3687.73145816121,26.15093651258826,0.0,0.0
LHS#19,24,102.6668505127499,76.60558442592007,271.30785386074234,187.0943741281964,1.0,18482.53888567435,10.0,0.0,42,77592837.50969528,4084.536009002708,0.0,0.0,0.0
LHS#20,24,360.354070952291,52.705266635018816,153.66872199474204,368.22509203195017,1.0,15879.69332684287,10.0,0.0,42,90383960.6491302,5601.173806247598,0.0,0.0,0.0
LHS#21,24,295.68724504859176,128.08206081107642,214.8355282489575,268.3059042787685,1.0,23378.121720139017,10.0,0.0,42,98802268.93663959,4154.142996406472,0.0,0.0,0.0
LHS#22,24,108.77071856481662,294.6505818425885,310.7717821217463,117.9980499593359,1.0,34216.34391118157,10.0,0.0,42,63836020.588608764,1811.8566661447226,0.0,0.0,0.0
LHS#23,24,373.3756243633468,167.568334957214,226.20749466213192,84.4232525233094,1.0,35672.948560417244,10.0,0.0,42,130679069.1311462,3640.8273224223576,31.475679159888386,0.0,0.0
LHS#24,24,75.99008582007643,148.84556314387066,95.06954557082979,70.1781975898611,1.0,7435.4789395190755,10.0,0.0,42,59139085.39293569,7917.513293408714,0.0,0.0,0.0
LHS#25,24,323.7742299655469,78.783011464492,284.59481794632563,420.961993444438,1.0,5913.329372762358,10.0,0.0,42,22672789.128477573,3311.552899313038,0.0,0.0,0.0
LHS#26,24,151.55774122379052,103.6597225398981,272.99724849412655,390.1568777544281,1.0,28770.604721697284,10.0,0.0,42,107890270.01121724,3634.1299369292396,0.0,0.0,0.0
LHS#27,24,335.043221052186,85.26240501895376,61.063114343182825,360.2476817675035,1.0,35012.7371434878,10.0,0.0,42,257737852.1275567,7345.277599132986,0.0,0.0,0.0
LHS#28,24,240.37743756041496,51.884426866029365,132.68177433793448,478.7614269489334,1.0,7703.1433852061955,10.0,0.0,42,52414528.97087002,6578.966925970626,0.0,0.0,0.0
LHS#29,24,131.18623346961527,265.367377176985,289.30391659761483,358.6530156641896,1.0,36197.42043357764,10.0,0.0,42,86060518.52282894,2287.741579287286,0.0,0.0,0.0
LHS#30,24,124.40588781378487,73.35094931871916,290.5174833816003,390.68599744807125,1.0,15038.464770904378,10.0,0.0,42,57918849.35004078,3608.378278432654,0.0,0.0,0.0
LHS#31,24,95.75304158073835,273.6005356161815,313.8369918663085,422.0332255202759,1.0,4812.255531164363,10.0,0.0,42,13229573.070320792,1901.9981128088007,0.0,0.0,0.0
LHS#32,24,158.04003273034817,223.8149569698632,145.63868715606105,374.6721871160146,1.0,9780.044520368036,10.0,0.0,42,55079521.31707432,5471.896504005974,0.0,0.0,0.0
LHS#33,24,206.85700569651573,275.54130385204826,186.7938356150266,273.2747106835285,1.0,36619.97412338944,10.0,0.0,42,144595688.52216542,3906.150117782522,0.0,0.0,0.0
LHS#34,24,244.3600489978196,134.84693110326094,70.41467577627363,302.5077903943197,1.0,27836.515604949716,10.0,0.0,42,205484068.65200225,7361.314509681658,0.0,0.0,0.0
LHS#35,24,340.0842086708728,204.63539712152775,98.72339564460977,463.5598259283551,1.0,29257.522061054297,10.0,0.0,42,166427761.5981294,5651.348395792648,10.097478289626906,0.0,0.0
LHS#36,24,81.113870198294,66.09812808332072,93.49391566563474,112.596396854772,1.0,27287.206294157728,10.0,0.0,42,234954148.99894792,8597.31125458654,0.0,0.0,0.0
LHS#37,24,238.0366331197238,56.61118866304268,219.05084357986368,311.3039073338024,1.0,23586.312417644425,10.0,0.0,42,113188972.00612146,4709.879649812079,0.0,0.0,0.0
LHS#38,24,166.92211196751248,88.06663109634282,62.19039592039748,331.29148779357274,1.0,8636.628779679548,10.0,0.0,42,74161785.38253596,8524.263337638578,0.0,0.0,0.0
LHS#39,24,289.531726674546,189.16050946221623,353.24374596697703,325.7159434493792,1.0,31387.85557356858,10.0,0.0,42,56662408.64037313,1704.2009794778053,0.0,0.0,0.0
LHS#40,24,352.7816715318651,234.6382301879309,177.74530464572115,363.9502781784866,1.0,6178.923169983152,10.0,0.0,42,26386493.114399232,4022.152443212858,32.4377392232206,0.0,0.0
LHS#41,24,261.9391752912676,305.8567439596282,331.5830633508436,77.05071028165625,1.0,28433.521671597016,10.0,0.0,42,40738942.014322445,1384.4548498016086,0.0,0.0,0.0
LHS#42,24,147.47848940574409,171.64590068030262,117.22325071706987,449.21994434406645,1.0,22525.448701534486,10.0,0.0,42,151494871.70758805,6662.071938187415,0.0,0.0,0.0
LHS#43,24,367.7048291415023,121.94839327870893,114.68479587814606,90.51013065812168,1.0,39668.89946685937,10.0,0.0,42,231795049.72675592,5834.364514236915,11.142805703096144,0.0,0.0
LHS#44,24,99.88968986031301,110.06587935409996,110.11802751335595,285.65253861598154,1.0,18064.719218205588,10.0,0.0,42,139925554.05514032,7695.946377991424,0.0,0.0,0.0
LHS#45,24,393.1934327224295,84.11563309347993,190.60290450814935,54.75809927699171,1.0,15961.179992964562,10.0,0.0,42,75664092.88968317,4707.118082811528,24.472101988345628,0.0,0.0
LHS#46,24,267.08644444676065,230.971357680487,356.5712949451086,254.92555084761145,1.0,23977.451171554887,10.0,0.0,42,37292916.65595775,1440.7706105172426,0.0,0.0,0.0
LHS#47,24,354.0193642625197,312.07199598468407,361.7441769340989,295.87002368778906,1.0,11783.145180030046,10.0,0.0,42,14588298.691124834,1011.785567896357,65.84272520409928,0.0,0.0
LHS#48,24,387.93545895141915,91.57395205904027,398.9488155706999,333.42376110675065,1.0,38934.07994353973,10.0,0.0,42,65842938.55957038,1601.8940745683503,21.611203973040688,0.0,0.0
LHS#49,24,296.3836152284289,144.0871803132685,133.2367965273797,149.83265231615712,1.0,4415.1584899193895,10.0,0.0,42,25230317.18425053,5568.083616136069,0.0,0.0,0.0
LHS#50,24,115.2869787344323,102.63053807039071,325.5841701757299,315.66783294769533,1.0,26498.981805955955,10.0,0.0,42,76688569.63215148,2759.5896733442924,0.0,0.0,0.0
