cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
MC#0,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,892509,69986158.39407746,6899.615839407747,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#1,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7739560,69689028.17002419,6869.90281700242,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#2,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6545715,70050748.83983228,6906.074883983229,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#3,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4388784,69162990.29564649,6817.299029564649,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#4,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4330152,71932220.12362921,7094.222012362921,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#5,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8585979,70996644.477018,7000.6644477018,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#6,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,859456,71494923.03087646,7050.492303087645,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#7,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6973680,69899397.63665375,6890.939763665377,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#8,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,2014695,70273490.14776346,6928.349014776346,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#9,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,941773,71217977.81957738,7022.797781957738,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#10,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,5264789,69843949.17869222,6885.394917869222,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#11,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,9756223,70887654.53260387,6989.7654532603865,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#12,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7357523,70530046.46726012,6954.004646726013,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#13,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7611397,69485337.2295103,6849.533722951031,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#14,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7174772,71774253.42051868,7078.425342051869,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#15,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7860643,70692142.47716105,6970.214247716105,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#16,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,5132265,70824184.26776879,6983.418426776878,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#17,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1281136,69716005.09663576,6872.600509663576,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#18,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8397482,70387180.59447616,6939.718059447618,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#19,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4503859,71516417.94166732,7052.641794166731,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#20,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,5003519,69798856.4024288,6880.885640242879,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#21,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3707980,69447541.3485327,6845.75413485327,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#22,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1825496,71550219.06158258,7056.021906158258,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#23,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,9267649,70839722.27229838,6984.972227229838,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#24,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7815674,71288326.01376447,7029.832601376447,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#25,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6438651,70636441.91108058,6964.644191108057,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#26,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4024143,71488421.13190717,7049.842113190716,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#27,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8227616,70468433.73285598,6947.843373285599,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#28,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,5454291,70796067.19077913,6980.606719077914,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#29,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4434141,69762832.30759977,6877.283230759977,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#30,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4504595,70734499.43200561,6974.449943200561,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#31,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,2272387,70072860.94311838,6908.286094311838,0.0,9999.999998137355,10000.0,1.0,0.0,0.0
MC#32,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,921359,70991380.79525602,7000.138079525603,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#33,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,5545847,71066703.38998248,7007.670338998248,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#34,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8878898,71408258.80127798,7041.825880127798,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#35,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,638172,70975457.10286571,6998.545710286571,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#36,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8582912,69328761.17440417,6833.876117440417,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#37,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8276311,70958047.14996757,6996.804714996756,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#38,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,2767596,70564244.54124431,6957.42445412443,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#39,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6316643,69673331.89740372,6868.333189740371,0.0,10000.0,10000.0,1.0,0.0,0.0
